,userID,num_orders
0,38769,118
1,42535,25
2,29737,35
3,43683,15
4,13081,22
5,19712,23
6,24653,29
7,34083,45
8,29971,117
9,45851,9
10,23038,10
11,28589,25
12,40277,18
13,22109,53
14,1421,73
15,35994,14
16,39376,22
17,37110,28
18,29158,8
19,44176,52
20,39433,21
21,3172,37
22,27052,97
23,35260,22
24,43408,76
25,13085,70
26,1033,1
27,1686,52
28,31607,47
29,36954,10
30,39390,19
31,18199,37
32,17726,59
33,31147,27
34,25306,40
35,23709,50
36,7949,96
37,30666,28
38,43227,51
39,31133,20
40,31089,69
41,42334,18
42,27306,13
43,9949,46
44,43648,108
45,22108,19
46,9169,14
47,40321,28
48,23194,16
49,14861,64
50,42271,63
51,43477,16
52,30609,51
53,23635,17
54,2635,26
55,18994,36
56,23845,80
57,40435,50
58,33226,21
59,36678,16
60,19638,62
61,25711,29
62,29606,17
63,26562,4
64,44835,33
65,42987,45
66,17513,30
67,2495,42
68,33880,26
69,28895,36
70,26195,31
71,7454,56
72,16922,56
73,22751,31
74,33586,10
75,33053,15
76,18135,40
77,36847,29
78,33268,36
79,18817,69
80,6244,38
81,8001,57
82,9968,44
83,34585,42
84,23748,64
85,29093,39
86,38932,29
87,20217,18
88,24551,24
89,27185,67
90,15979,126
91,12827,52
92,11678,48
93,41147,39
94,17518,34
95,35843,39
96,10840,87
97,38264,32
98,36553,21
99,27331,37
100,32631,13
101,36217,12
102,29009,26
103,16395,57
104,31843,89
105,20846,68
106,40278,80
107,22499,49
108,18361,81
109,247,11
110,26098,21
111,24376,55
112,276,42
113,21069,54
114,41590,30
115,15970,36
116,28723,57
117,794,24
118,19463,33
119,39669,24
120,45856,30
121,43425,45
122,11425,21
123,13972,19
124,26015,38
125,5316,17
126,18825,53
127,38095,34
128,39400,41
129,31926,68
130,16613,46
131,26563,57
132,12546,38
133,37156,48
134,4955,10
135,37179,18
136,5408,84
137,35692,12
138,14855,145
139,10683,25
140,21947,15
141,36493,83
142,38051,32
143,7944,25
144,35272,7
145,1835,25
146,5291,123
147,40356,39
148,33996,38
149,19379,24
150,4646,29
151,1733,38
152,33338,26
153,44881,44
154,33938,47
155,4567,12
156,44145,54
157,13266,42
158,37180,112
159,38531,28
160,5989,56
161,9159,57
162,17414,20
163,26663,29
164,13955,27
165,31330,34
166,28071,73
167,39843,150
168,38141,47
169,21684,5
170,15559,71
171,43552,12
172,5994,29
173,18939,35
174,18338,58
175,26454,12
176,30928,26
177,11669,58
178,40937,22
179,9815,14
180,38301,26
181,45291,38
182,1711,31
183,4201,17
184,8791,63
185,36132,36
186,37540,58
187,15043,31
188,38370,29
189,17541,29
190,24208,58
191,39793,39
192,35765,44
193,6855,34
194,7294,21
195,9139,38
196,37510,44
197,16171,65
198,45060,17
199,21888,41
200,17084,68
201,20786,12
202,39744,19
203,43736,71
204,29554,11
205,20996,63
206,32678,38
207,40596,44
208,24673,32
209,691,22
210,15313,33
211,37976,27
212,19661,70
213,11070,96
214,37585,37
215,42670,24
216,7072,86
217,23826,40
218,34956,88
219,44607,44
220,17566,58
221,32171,47
222,41318,37
223,6361,49
224,30518,29
225,13356,46
226,7823,48
227,32599,17
228,30071,19
229,20315,28
230,9445,16
231,7124,11
232,24196,21
233,43500,46
234,21253,10
